dataset,plotID,series,subplot,scale,type,metric,value
6,UAS04NW,UAS04,NW,10,alpha,cover,112.719
6,UAS04SE,UAS04,SE,10,alpha,div,46
6,UAS04SE,UAS04,SE,10,alpha,ENSPIE,7.5728660329671245
6,UAS04SE,UAS04,SE,10,alpha,cover,107.311
6,UAS05NW,UAS05,NW,10,alpha,div,40
6,UAS05NW,UAS05,NW,10,alpha,ENSPIE,7.3597149576181105
6,UAS05NW,UAS05,NW,10,alpha,cover,134.441
6,UAS05SE,UAS05,SE,10,alpha,div,42
6,UAS05SE,UAS05,SE,10,alpha,ENSPIE,8.742642549061639
6,UAS05SE,UAS05,SE,10,alpha,cover,114.309
6,UAS06NW,UAS06,NW,10,alpha,div,33
6,UAS06NW,UAS06,NW,10,alpha,ENSPIE,6.904857051232779
6,UAS06NW,UAS06,NW,10,alpha,cover,94.911
6,UAS06SE,UAS06,SE,10,alpha,div,50
6,UAS06SE,UAS06,SE,10,alpha,ENSPIE,5.572757246382381
6,UAS06SE,UAS06,SE,10,alpha,cover,82.875
6,UAS09NW,UAS09,NW,10,alpha,div,27
6,UAS09NW,UAS09,NW,10,alpha,ENSPIE,4.634689197032261
6,UAS09NW,UAS09,NW,10,alpha,cover,156.491
6,UAS09SE,UAS09,SE,10,alpha,div,30
6,UAS09SE,UAS09,SE,10,alpha,ENSPIE,3.285761122468626
6,UAS09SE,UAS09,SE,10,alpha,cover,87.373
6,UAS10NW,UAS10,NW,10,alpha,div,33
6,UAS10NW,UAS10,NW,10,alpha,ENSPIE,4.1228934445170795
6,UAS10NW,UAS10,NW,10,alpha,cover,71.173
6,UAS10SE,UAS10,SE,10,alpha,div,35
6,UAS10SE,UAS10,SE,10,alpha,ENSPIE,6.222167668209236
6,UAS10SE,UAS10,SE,10,alpha,cover,79.084
6,UAS11NE,UAS11,NE,10,alpha,div,20
6,UAS11NE,UAS11,NE,10,alpha,ENSPIE,4.435303344314919
6,UAS11NE,UAS11,NE,10,alpha,cover,57.93
6,UAS11SW,UAS11,SW,10,alpha,div,20
6,UAS11SW,UAS11,SW,10,alpha,ENSPIE,5.697611314945809
6,UAS11SW,UAS11,SW,10,alpha,cover,17.552
6,UAS12NW,UAS12,NW,10,alpha,div,33
6,UAS12NW,UAS12,NW,10,alpha,ENSPIE,5.685589145504421
6,UAS12NW,UAS12,NW,10,alpha,cover,139.51
6,UAS12SE,UAS12,SE,10,alpha,div,49
6,UAS12SE,UAS12,SE,10,alpha,ENSPIE,5.281220252303748
6,UAS12SE,UAS12,SE,10,alpha,cover,127.126
6,UAS13NW,UAS13,NW,10,alpha,div,39
6,UAS13NW,UAS13,NW,10,alpha,ENSPIE,3.9288035619012742
6,UAS13NW,UAS13,NW,10,alpha,cover,103.584
6,UAS13SE,UAS13,SE,10,alpha,div,38
6,UAS13SE,UAS13,SE,10,alpha,ENSPIE,4.3889602410174025
6,UAS13SE,UAS13,SE,10,alpha,cover,98.114
6,UAS14NW,UAS14,NW,10,alpha,div,32
6,UAS14NW,UAS14,NW,10,alpha,ENSPIE,6.494135139270746
6,UAS14NW,UAS14,NW,10,alpha,cover,86.733
6,UAS14SE,UAS14,SE,10,alpha,div,36
6,UAS14SE,UAS14,SE,10,alpha,ENSPIE,7.051879468530716
6,UAS14SE,UAS14,SE,10,alpha,cover,92.979
6,UAS15N,UAS15,N,10,alpha,div,18
6,UAS15N,UAS15,N,10,alpha,ENSPIE,4.150452055695953
6,UAS15N,UAS15,N,10,alpha,cover,91.544
6,UAS15S,UAS15,S,10,alpha,div,12
6,UAS15S,UAS15,S,10,alpha,ENSPIE,2.9752686407845697
6,UAS15S,UAS15,S,10,alpha,cover,72.021
6,UAS16NW,UAS16,NW,10,alpha,div,20
6,UAS16NW,UAS16,NW,10,alpha,ENSPIE,3.8703532609960205
6,UAS16NW,UAS16,NW,10,alpha,cover,106.631
6,UAS16SE,UAS16,SE,10,alpha,div,23
6,UAS16SE,UAS16,SE,10,alpha,ENSPIE,5.110177477451597
6,UAS16SE,UAS16,SE,10,alpha,cover,143.703
6,UAS17NW,UAS17,NW,10,alpha,div,36
6,UAS17NW,UAS17,NW,10,alpha,ENSPIE,6.695871219047947
6,UAS17NW,UAS17,NW,10,alpha,cover,92.92
6,UAS17SE,UAS17,SE,10,alpha,div,35
6,UAS17SE,UAS17,SE,10,alpha,ENSPIE,7.320499751051453
6,UAS17SE,UAS17,SE,10,alpha,cover,151.02
6,UAS18NE,UAS18,NE,10,alpha,div,39
6,UAS18NE,UAS18,NE,10,alpha,ENSPIE,8.522840525066629
6,UAS18NE,UAS18,NE,10,alpha,cover,88.459
6,UAS18SW,UAS18,SW,10,alpha,div,34
6,UAS18SW,UAS18,SW,10,alpha,ENSPIE,5.084871741072636
6,UAS18SW,UAS18,SW,10,alpha,cover,80.012
6,UAS19NW,UAS19,NW,10,alpha,div,58
6,UAS19NW,UAS19,NW,10,alpha,ENSPIE,5.5692665039641485
6,UAS19NW,UAS19,NW,10,alpha,cover,168.83
6,UAS19SE,UAS19,SE,10,alpha,div,48
6,UAS19SE,UAS19,SE,10,alpha,ENSPIE,5.463836314230614
6,UAS19SE,UAS19,SE,10,alpha,cover,172.357
6,UAS20NW,UAS20,NW,10,alpha,div,19
6,UAS20NW,UAS20,NW,10,alpha,ENSPIE,3.9841578840007794
6,UAS20NW,UAS20,NW,10,alpha,cover,121.82
6,UAS20SE,UAS20,SE,10,alpha,div,16
6,UAS20SE,UAS20,SE,10,alpha,ENSPIE,2.9336671492321242
6,UAS20SE,UAS20,SE,10,alpha,cover,125.4
6,UAS21NW,UAS21,NW,10,alpha,div,49
6,UAS21NW,UAS21,NW,10,alpha,ENSPIE,9.13926657091661
6,UAS21NW,UAS21,NW,10,alpha,cover,191.78
6,UAS21SE,UAS21,SE,10,alpha,div,47
6,UAS21SE,UAS21,SE,10,alpha,ENSPIE,7.759294701429675
6,UAS21SE,UAS21,SE,10,alpha,cover,152.696
6,UAS22NW,UAS22,NW,10,alpha,div,11
6,UAS22NW,UAS22,NW,10,alpha,ENSPIE,2.7952699936579495
6,UAS22NW,UAS22,NW,10,alpha,cover,48.153
6,UAS22SE,UAS22,SE,10,alpha,div,10
6,UAS22SE,UAS22,SE,10,alpha,ENSPIE,1.7986433551066467
6,UAS22SE,UAS22,SE,10,alpha,cover,34.14
6,UAS23NW,UAS23,NW,10,alpha,div,17
6,UAS23NW,UAS23,NW,10,alpha,ENSPIE,3.5702627505226414
6,UAS23NW,UAS23,NW,10,alpha,cover,82.44
6,UAS23SE,UAS23,SE,10,alpha,div,30
6,UAS23SE,UAS23,SE,10,alpha,ENSPIE,5.378206988710046
6,UAS23SE,UAS23,SE,10,alpha,cover,146.53
6,UAS24NW,UAS24,NW,10,alpha,div,20
6,UAS24NW,UAS24,NW,10,alpha,ENSPIE,4.203226205574866
6,UAS24NW,UAS24,NW,10,alpha,cover,136.713
6,UAS24SE,UAS24,SE,10,alpha,div,21
6,UAS24SE,UAS24,SE,10,alpha,ENSPIE,3.6016003355477686
6,UAS24SE,UAS24,SE,10,alpha,cover,122.92
6,UAS25NW,UAS25,NW,10,alpha,div,25
6,UAS25NW,UAS25,NW,10,alpha,ENSPIE,1.5220904465538037
6,UAS25NW,UAS25,NW,10,alpha,cover,75.082
6,UAS25SE,UAS25,SE,10,alpha,div,27
6,UAS25SE,UAS25,SE,10,alpha,ENSPIE,2.3184199604609983
6,UAS25SE,UAS25,SE,10,alpha,cover,79.91
6,UAS26NW,UAS26,NW,10,alpha,div,29
6,UAS26NW,UAS26,NW,10,alpha,ENSPIE,4.801097915288565
6,UAS26NW,UAS26,NW,10,alpha,cover,114.712
6,UAS26SE,UAS26,SE,10,alpha,div,27
6,UAS26SE,UAS26,SE,10,alpha,ENSPIE,7.4330096843458815
6,UAS26SE,UAS26,SE,10,alpha,cover,72.16
6,UAS27NW,UAS27,NW,10,alpha,div,8
6,UAS27NW,UAS27,NW,10,alpha,ENSPIE,2.0121237413978093
6,UAS27NW,UAS27,NW,10,alpha,cover,67.601
6,UAS27SE,UAS27,SE,10,alpha,div,10
6,UAS27SE,UAS27,SE,10,alpha,ENSPIE,3.496490759967982
6,UAS27SE,UAS27,SE,10,alpha,cover,54.9
6,UAS28NW,UAS28,NW,10,alpha,div,24
6,UAS28NW,UAS28,NW,10,alpha,ENSPIE,7.520046467361439
6,UAS28NW,UAS28,NW,10,alpha,cover,125.132
6,UAS28SE,UAS28,SE,10,alpha,div,21
6,UAS28SE,UAS28,SE,10,alpha,ENSPIE,5.224849266729954
6,UAS28SE,UAS28,SE,10,alpha,cover,97.53
6,UAS29NW,UAS29,NW,10,alpha,div,10
6,UAS29NW,UAS29,NW,10,alpha,ENSPIE,2.5656561852020867
6,UAS29NW,UAS29,NW,10,alpha,cover,58.36
6,UAS29SE,UAS29,SE,10,alpha,div,12
6,UAS29SE,UAS29,SE,10,alpha,ENSPIE,1.923056833987363
6,UAS29SE,UAS29,SE,10,alpha,cover,70.822
6,UAS30NW,UAS30,NW,10,alpha,div,36
6,UAS30NW,UAS30,NW,10,alpha,ENSPIE,3.2558976298517934
6,UAS30NW,UAS30,NW,10,alpha,cover,97.841
6,UAS30SE,UAS30,SE,10,alpha,div,33
6,UAS30SE,UAS30,SE,10,alpha,ENSPIE,6.41045507131185
6,UAS30SE,UAS30,SE,10,alpha,cover,108.841
6,UAS31NW,UAS31,NW,10,alpha,div,33
6,UAS31NW,UAS31,NW,10,alpha,ENSPIE,2.9412345504127284
6,UAS31NW,UAS31,NW,10,alpha,cover,57.502
6,UAS31SE,UAS31,SE,10,alpha,div,38
6,UAS31SE,UAS31,SE,10,alpha,ENSPIE,2.5780730269947645
6,UAS31SE,UAS31,SE,10,alpha,cover,66.158
6,UAS32NW,UAS32,NW,10,alpha,div,33
6,UAS32NW,UAS32,NW,10,alpha,ENSPIE,4.488188116618398
6,UAS32NW,UAS32,NW,10,alpha,cover,102.278
6,UAS32SE,UAS32,SE,10,alpha,div,28
6,UAS32SE,UAS32,SE,10,alpha,ENSPIE,2.951529105805306
6,UAS32SE,UAS32,SE,10,alpha,cover,127.64
6,UAS33NW,UAS33,NW,10,alpha,div,32
6,UAS33NW,UAS33,NW,10,alpha,ENSPIE,4.866703727388568
6,UAS33NW,UAS33,NW,10,alpha,cover,119.61
6,UAS33SE,UAS33,SE,10,alpha,div,25
6,UAS33SE,UAS33,SE,10,alpha,ENSPIE,3.4982186690033714
6,UAS33SE,UAS33,SE,10,alpha,cover,102.35
6,UAS34NW,UAS34,NW,10,alpha,div,20
6,UAS34NW,UAS34,NW,10,alpha,ENSPIE,4.753518496545441
6,UAS34NW,UAS34,NW,10,alpha,cover,94.03
6,UAS34SE,UAS34,SE,10,alpha,div,18
6,UAS34SE,UAS34,SE,10,alpha,ENSPIE,3.345475536052642
6,UAS34SE,UAS34,SE,10,alpha,cover,81.41
6,UAS35NW,UAS35,NW,10,alpha,div,34
6,UAS35NW,UAS35,NW,10,alpha,ENSPIE,4.3840677898841
6,UAS35NW,UAS35,NW,10,alpha,cover,109.902
6,UAS35SE,UAS35,SE,10,alpha,div,31
6,UAS35SE,UAS35,SE,10,alpha,ENSPIE,4.206997070781031
6,UAS35SE,UAS35,SE,10,alpha,cover,107.826
6,UAS36NW,UAS36,NW,10,alpha,div,31
6,UAS36NW,UAS36,NW,10,alpha,ENSPIE,5.408532434194411
6,UAS36NW,UAS36,NW,10,alpha,cover,108.14
6,UAS36SE,UAS36,SE,10,alpha,div,22
6,UAS36SE,UAS36,SE,10,alpha,ENSPIE,4.6157564928505845
6,UAS36SE,UAS36,SE,10,alpha,cover,59.932
6,UAS37NW,UAS37,NW,10,alpha,div,9
6,UAS37NW,UAS37,NW,10,alpha,ENSPIE,3.9829166440696344
6,UAS37NW,UAS37,NW,10,alpha,cover,27.1
6,UAS37SE,UAS37,SE,10,alpha,div,8
6,UAS37SE,UAS37,SE,10,alpha,ENSPIE,3.182777838729971
6,UAS37SE,UAS37,SE,10,alpha,cover,16.311
6,UAS38NW,UAS38,NW,10,alpha,div,4
6,UAS38NW,UAS38,NW,10,alpha,ENSPIE,2.0334990274475904
6,UAS38NW,UAS38,NW,10,alpha,cover,97
6,UAS38SE,UAS38,SE,10,alpha,div,7
6,UAS38SE,UAS38,SE,10,alpha,ENSPIE,2.1141166614670515
6,UAS38SE,UAS38,SE,10,alpha,cover,113.61
6,UAS39NW,UAS39,NW,10,alpha,div,9
6,UAS39NW,UAS39,NW,10,alpha,ENSPIE,1.635618868259465
6,UAS39NW,UAS39,NW,10,alpha,cover,22.14
6,UAS39SE,UAS39,SE,10,alpha,div,7
6,UAS39SE,UAS39,SE,10,alpha,ENSPIE,1.7105469439018195
6,UAS39SE,UAS39,SE,10,alpha,cover,21.62
6,UAS40NW,UAS40,NW,10,alpha,div,37
6,UAS40NW,UAS40,NW,10,alpha,ENSPIE,7.002498520071956
6,UAS40NW,UAS40,NW,10,alpha,cover,138.602
6,UAS40SE,UAS40,SE,10,alpha,div,26
6,UAS40SE,UAS40,SE,10,alpha,ENSPIE,5.75010437292852
6,UAS40SE,UAS40,SE,10,alpha,cover,142.904
6,UAS41NW,UAS41,NW,10,alpha,div,34
6,UAS41NW,UAS41,NW,10,alpha,ENSPIE,7.0237531454032265
6,UAS41NW,UAS41,NW,10,alpha,cover,81.221
6,UAS41SE,UAS41,SE,10,alpha,div,32
6,UAS41SE,UAS41,SE,10,alpha,ENSPIE,6.472810333674333
6,UAS41SE,UAS41,SE,10,alpha,cover,97.22
6,UAS42NW,UAS42,NW,10,alpha,div,16
6,UAS42NW,UAS42,NW,10,alpha,ENSPIE,9.61961211315068
6,UAS42NW,UAS42,NW,10,alpha,cover,50.011
6,UAS42SE,UAS42,SE,10,alpha,div,9
6,UAS42SE,UAS42,SE,10,alpha,ENSPIE,2.377892858580303
6,UAS42SE,UAS42,SE,10,alpha,cover,21.05
6,UAS43NW,UAS43,NW,10,alpha,div,31
6,UAS43NW,UAS43,NW,10,alpha,ENSPIE,5.2091754390504255
6,UAS43NW,UAS43,NW,10,alpha,cover,108.71
6,UAS43SE,UAS43,SE,10,alpha,div,29
6,UAS43SE,UAS43,SE,10,alpha,ENSPIE,3.5081980847163527
6,UAS43SE,UAS43,SE,10,alpha,cover,120.881
6,UAS44NW,UAS44,NW,10,alpha,div,41
6,UAS44NW,UAS44,NW,10,alpha,ENSPIE,6.18024255498884
6,UAS44NW,UAS44,NW,10,alpha,cover,88.761
6,UAS44SE,UAS44,SE,10,alpha,div,40
6,UAS44SE,UAS44,SE,10,alpha,ENSPIE,5.677018073155289
6,UAS44SE,UAS44,SE,10,alpha,cover,103.06
6,UAS45NW,UAS45,NW,10,alpha,div,45
6,UAS45NW,UAS45,NW,10,alpha,ENSPIE,5.707902910253133
6,UAS45NW,UAS45,NW,10,alpha,cover,116.9
6,UAS45SE,UAS45,SE,10,alpha,div,44
6,UAS45SE,UAS45,SE,10,alpha,ENSPIE,7.799463421158278
6,UAS45SE,UAS45,SE,10,alpha,cover,105.679
6,UAS46NW,UAS46,NW,10,alpha,div,30
6,UAS46NW,UAS46,NW,10,alpha,ENSPIE,3.274296873489616
6,UAS46NW,UAS46,NW,10,alpha,cover,78.848
6,UAS46SE,UAS46,SE,10,alpha,div,29
6,UAS46SE,UAS46,SE,10,alpha,ENSPIE,8.823499432959213
6,UAS46SE,UAS46,SE,10,alpha,cover,92.78
6,UAS47NW,UAS47,NW,10,alpha,div,25
6,UAS47NW,UAS47,NW,10,alpha,ENSPIE,1.872082666777267
6,UAS47NW,UAS47,NW,10,alpha,cover,123.533
6,UAS47SE,UAS47,SE,10,alpha,div,28
6,UAS47SE,UAS47,SE,10,alpha,ENSPIE,5.2366497623663975
6,UAS47SE,UAS47,SE,10,alpha,cover,150.34
6,UAS48NW,UAS48,NW,10,alpha,div,43
6,UAS48NW,UAS48,NW,10,alpha,ENSPIE,9.698977143952852
6,UAS48NW,UAS48,NW,10,alpha,cover,137.32
6,UAS48SE,UAS48,SE,10,alpha,div,36
6,UAS48SE,UAS48,SE,10,alpha,ENSPIE,7.279335712015471
6,UAS48SE,UAS48,SE,10,alpha,cover,93.672
6,UAS49NW,UAS49,NW,10,alpha,div,19
6,UAS49NW,UAS49,NW,10,alpha,ENSPIE,7.836734812529431
6,UAS49NW,UAS49,NW,10,alpha,cover,34.83
6,UAS49SE,UAS49,SE,10,alpha,div,14
6,UAS49SE,UAS49,SE,10,alpha,ENSPIE,6.088893313205236
6,UAS49SE,UAS49,SE,10,alpha,cover,33.153
6,UAS50NW,UAS50,NW,10,alpha,div,28
6,UAS50NW,UAS50,NW,10,alpha,ENSPIE,9.294190961092212
6,UAS50NW,UAS50,NW,10,alpha,cover,60.94
6,UAS50SE,UAS50,SE,10,alpha,div,24
6,UAS50SE,UAS50,SE,10,alpha,ENSPIE,4.964193279202772
6,UAS50SE,UAS50,SE,10,alpha,cover,39.272
6,UAS51NW,UAS51,NW,10,alpha,div,44
6,UAS51NW,UAS51,NW,10,alpha,ENSPIE,5.554192293489594
6,UAS51NW,UAS51,NW,10,alpha,cover,95.064
6,UAS51SE,UAS51,SE,10,alpha,div,23
6,UAS51SE,UAS51,SE,10,alpha,ENSPIE,2.2041378810809293
6,UAS51SE,UAS51,SE,10,alpha,cover,86.047
6,UAS55NW,UAS55,NW,10,alpha,div,25
6,UAS55NW,UAS55,NW,10,alpha,ENSPIE,2.184447948075019
6,UAS55NW,UAS55,NW,10,alpha,cover,68.684
6,UAS55SE,UAS55,SE,10,alpha,div,31
6,UAS55SE,UAS55,SE,10,alpha,ENSPIE,3.8536342602216784
6,UAS55SE,UAS55,SE,10,alpha,cover,104.591
7,NFD21_01NW,NFD21_01,NW,10,alpha,div,32
7,NFD21_01NW,NFD21_01,NW,10,alpha,ENSPIE,8.050516718414627
7,NFD21_01NW,NFD21_01,NW,10,alpha,cover,119.71
7,NFD21_01SE,NFD21_01,SE,10,alpha,div,30
7,NFD21_01SE,NFD21_01,SE,10,alpha,ENSPIE,10.315317045590396
7,NFD21_01SE,NFD21_01,SE,10,alpha,cover,94.82
7,NFD21_02NW,NFD21_02,NW,10,alpha,div,34
7,NFD21_02NW,NFD21_02,NW,10,alpha,ENSPIE,6.1601259835584505
7,NFD21_02NW,NFD21_02,NW,10,alpha,cover,80.91
7,NFD21_02SE,NFD21_02,SE,10,alpha,div,34
7,NFD21_02SE,NFD21_02,SE,10,alpha,ENSPIE,11.431029851701366
7,NFD21_02SE,NFD21_02,SE,10,alpha,cover,129.72
7,NFD21_03NW,NFD21_03,NW,10,alpha,div,25
7,NFD21_03NW,NFD21_03,NW,10,alpha,ENSPIE,5.7228798557137965
7,NFD21_03NW,NFD21_03,NW,10,alpha,cover,67.21
7,NFD21_03SE,NFD21_03,SE,10,alpha,div,30
7,NFD21_03SE,NFD21_03,SE,10,alpha,ENSPIE,6.5000373968548
7,NFD21_03SE,NFD21_03,SE,10,alpha,cover,91.34
7,NFD21_04NW,NFD21_04,NW,10,alpha,div,31
7,NFD21_04NW,NFD21_04,NW,10,alpha,ENSPIE,9.66620539058235
7,NFD21_04NW,NFD21_04,NW,10,alpha,cover,123.4
7,NFD21_04SE,NFD21_04,SE,10,alpha,div,30
7,NFD21_04SE,NFD21_04,SE,10,alpha,ENSPIE,6.486934645329951
7,NFD21_04SE,NFD21_04,SE,10,alpha,cover,69.63
7,NFD21_05NW,NFD21_05,NW,10,alpha,div,52
7,NFD21_05NW,NFD21_05,NW,10,alpha,ENSPIE,6.945185984203777
7,NFD21_05NW,NFD21_05,NW,10,alpha,cover,179.55
7,NFD21_05SE,NFD21_05,SE,10,alpha,div,54
7,NFD21_05SE,NFD21_05,SE,10,alpha,ENSPIE,6.630936536973557
7,NFD21_05SE,NFD21_05,SE,10,alpha,cover,110.45
7,NFD21_06NW,NFD21_06,NW,10,alpha,div,58
7,NFD21_06NW,NFD21_06,NW,10,alpha,ENSPIE,7.106038704965449
7,NFD21_06NW,NFD21_06,NW,10,alpha,cover,71.62
7,NFD21_06SE,NFD21_06,SE,10,alpha,div,59
7,NFD21_06SE,NFD21_06,SE,10,alpha,ENSPIE,9.286307431862959
7,NFD21_06SE,NFD21_06,SE,10,alpha,cover,90.54
7,NFD21_07NW,NFD21_07,NW,10,alpha,div,64
7,NFD21_07NW,NFD21_07,NW,10,alpha,ENSPIE,27.584272259458825
7,NFD21_07NW,NFD21_07,NW,10,alpha,cover,122.15
7,NFD21_07SE,NFD21_07,SE,10,alpha,div,59
7,NFD21_07SE,NFD21_07,SE,10,alpha,ENSPIE,15.247686738101834
7,NFD21_07SE,NFD21_07,SE,10,alpha,cover,122.19
7,NFD21_08NE,NFD21_08,NE,10,alpha,div,74
7,NFD21_08NE,NFD21_08,NE,10,alpha,ENSPIE,8.726582561069025
7,NFD21_08NE,NFD21_08,NE,10,alpha,cover,110.01
7,NFD21_08SW,NFD21_08,SW,10,alpha,div,61
7,NFD21_08SW,NFD21_08,SW,10,alpha,ENSPIE,7.399484293879946
7,NFD21_08SW,NFD21_08,SW,10,alpha,cover,82.05
7,NFD21_09NW,NFD21_09,NW,10,alpha,div,49
7,NFD21_09NW,NFD21_09,NW,10,alpha,ENSPIE,14.168037602820212
7,NFD21_09NW,NFD21_09,NW,10,alpha,cover,120.57
7,NFD21_09SE,NFD21_09,SE,10,alpha,div,51
7,NFD21_09SE,NFD21_09,SE,10,alpha,ENSPIE,4.768005523810241
7,NFD21_09SE,NFD21_09,SE,10,alpha,cover,185.31
7,NFD21_10NW,NFD21_10,NW,10,alpha,div,67
7,NFD21_10NW,NFD21_10,NW,10,alpha,ENSPIE,16.062299051822635
7,NFD21_10NW,NFD21_10,NW,10,alpha,cover,105.75
7,NFD21_10SE,NFD21_10,SE,10,alpha,div,64
7,NFD21_10SE,NFD21_10,SE,10,alpha,ENSPIE,14.761511367483292
7,NFD21_10SE,NFD21_10,SE,10,alpha,cover,127.84
7,NFD21_11NE,NFD21_11,NE,10,alpha,div,45
7,NFD21_11NE,NFD21_11,NE,10,alpha,ENSPIE,7.666645138986501
7,NFD21_11NE,NFD21_11,NE,10,alpha,cover,102.44
7,NFD21_11SW,NFD21_11,SW,10,alpha,div,51
7,NFD21_11SW,NFD21_11,SW,10,alpha,ENSPIE,10.105552517906482
7,NFD21_11SW,NFD21_11,SW,10,alpha,cover,77.99
7,NFD21_12NW,NFD21_12,NW,10,alpha,div,31
7,NFD21_12NW,NFD21_12,NW,10,alpha,ENSPIE,4.581504606062093
7,NFD21_12NW,NFD21_12,NW,10,alpha,cover,86.86
7,NFD21_12SE,NFD21_12,SE,10,alpha,div,28
7,NFD21_12SE,NFD21_12,SE,10,alpha,ENSPIE,6.838683623045367
7,NFD21_12SE,NFD21_12,SE,10,alpha,cover,104.19
7,NFD21_13NW,NFD21_13,NW,10,alpha,div,32
7,NFD21_13NW,NFD21_13,NW,10,alpha,ENSPIE,5.24812794601718
7,NFD21_13NW,NFD21_13,NW,10,alpha,cover,112.12
7,NFD21_13SE,NFD21_13,SE,10,alpha,div,22
7,NFD21_13SE,NFD21_13,SE,10,alpha,ENSPIE,7.218847109940457
7,NFD21_13SE,NFD21_13,SE,10,alpha,cover,87.61
7,NFD21_14NW,NFD21_14,NW,10,alpha,div,38
7,NFD21_14NW,NFD21_14,NW,10,alpha,ENSPIE,9.805610181796279
7,NFD21_14NW,NFD21_14,NW,10,alpha,cover,101.11
7,NFD21_14SE,NFD21_14,SE,10,alpha,div,40
7,NFD21_14SE,NFD21_14,SE,10,alpha,ENSPIE,8.259685286488681
7,NFD21_14SE,NFD21_14,SE,10,alpha,cover,53.81
7,NFD21_15NW,NFD21_15,NW,10,alpha,div,43
7,NFD21_15NW,NFD21_15,NW,10,alpha,ENSPIE,13.712462063549612
7,NFD21_15NW,NFD21_15,NW,10,alpha,cover,119.71
7,NFD21_15SE,NFD21_15,SE,10,alpha,div,51
7,NFD21_15SE,NFD21_15,SE,10,alpha,ENSPIE,10.980118962956166
7,NFD21_15SE,NFD21_15,SE,10,alpha,cover,112.95
7,NFD21_16NW,NFD21_16,NW,10,alpha,div,52
7,NFD21_16NW,NFD21_16,NW,10,alpha,ENSPIE,7.607725033708354
7,NFD21_16NW,NFD21_16,NW,10,alpha,cover,102.65
7,NFD21_16SE,NFD21_16,SE,10,alpha,div,59
7,NFD21_16SE,NFD21_16,SE,10,alpha,ENSPIE,15.781122047998215
7,NFD21_16SE,NFD21_16,SE,10,alpha,cover,36.87
7,NFD21_17NW,NFD21_17,NW,10,alpha,div,42
7,NFD21_17NW,NFD21_17,NW,10,alpha,ENSPIE,8.137372761028272
7,NFD21_17NW,NFD21_17,NW,10,alpha,cover,107.23
7,NFD21_17SE,NFD21_17,SE,10,alpha,div,30
7,NFD21_17SE,NFD21_17,SE,10,alpha,ENSPIE,7.951023542530725
7,NFD21_17SE,NFD21_17,SE,10,alpha,cover,159.91
7,NFD21_18NW,NFD21_18,NW,10,alpha,div,59
7,NFD21_18NW,NFD21_18,NW,10,alpha,ENSPIE,12.517609388778613
7,NFD21_18NW,NFD21_18,NW,10,alpha,cover,117.62
7,NFD21_18SE,NFD21_18,SE,10,alpha,div,59
7,NFD21_18SE,NFD21_18,SE,10,alpha,ENSPIE,10.611724103304221
7,NFD21_18SE,NFD21_18,SE,10,alpha,cover,53.81
7,NFD21_56NW,NFD21_56,NW,10,alpha,div,35
7,NFD21_56NW,NFD21_56,NW,10,alpha,ENSPIE,13.432142119396818
7,NFD21_56NW,NFD21_56,NW,10,alpha,cover,127.5
7,NFD21_56SE,NFD21_56,SE,10,alpha,div,39
7,NFD21_56SE,NFD21_56,SE,10,alpha,ENSPIE,11.529478747879438
7,NFD21_56SE,NFD21_56,SE,10,alpha,cover,157.5
7,NFD21_57NW,NFD21_57,NW,10,alpha,div,58
7,NFD21_57NW,NFD21_57,NW,10,alpha,ENSPIE,13.0091005677123
7,NFD21_57NW,NFD21_57,NW,10,alpha,cover,110.1
7,NFD21_57SE,NFD21_57,SE,10,alpha,div,64
7,NFD21_57SE,NFD21_57,SE,10,alpha,ENSPIE,10.160467979563066
7,NFD21_57SE,NFD21_57,SE,10,alpha,cover,130.7
7,NFD21_58NW,NFD21_58,NW,10,alpha,div,55
7,NFD21_58NW,NFD21_58,NW,10,alpha,ENSPIE,12.775849056603773
7,NFD21_58NW,NFD21_58,NW,10,alpha,cover,92
7,NFD21_58SE,NFD21_58,SE,10,alpha,div,44
7,NFD21_58SE,NFD21_58,SE,10,alpha,ENSPIE,8.077022486430602
7,NFD21_58SE,NFD21_58,SE,10,alpha,cover,125
7,NFD21_59NE,NFD21_59,NE,10,alpha,div,26
7,NFD21_59NE,NFD21_59,NE,10,alpha,ENSPIE,7.107784804390225
7,NFD21_59NE,NFD21_59,NE,10,alpha,cover,118.91
7,NFD21_59SW,NFD21_59,SW,10,alpha,div,16
7,NFD21_59SW,NFD21_59,SW,10,alpha,ENSPIE,5.022115253621543
7,NFD21_59SW,NFD21_59,SW,10,alpha,cover,115.2
7,NFD21_60NW,NFD21_60,NW,10,alpha,div,18
7,NFD21_60NW,NFD21_60,NW,10,alpha,ENSPIE,6.562800986648918
7,NFD21_60NW,NFD21_60,NW,10,alpha,cover,115.8
7,NFD21_60SE,NFD21_60,SE,10,alpha,div,24
7,NFD21_60SE,NFD21_60,SE,10,alpha,ENSPIE,6.6574251113376315
7,NFD21_60SE,NFD21_60,SE,10,alpha,cover,117.91
7,NFD21_61NW,NFD21_61,NW,10,alpha,div,34
7,NFD21_61NW,NFD21_61,NW,10,alpha,ENSPIE,10.04886006067948
7,NFD21_61NW,NFD21_61,NW,10,alpha,cover,113.82
7,NFD21_61SE,NFD21_61,SE,10,alpha,div,33
